LOS,R start (m),R end (m),Z start,Z end
LOS_0_0,0.91,0.15,-0.1,0.37039640851950656
LOS_0_1,0.91,0.15,-0.1,0.299760962137636
LOS_0_2,0.91,0.15,-0.1,0.23415031871658937
LOS_0_3,0.91,0.15,-0.1,0.17246390877009443
LOS_0_4,0.91,0.15,-0.1,0.11380261051878801
LOS_0_5,0.91,0.15,-0.1,0.057410687925221505
LOS_0_6,0.91,0.15,-0.1,0.0026331767408081844
LOS_0_7,0.91,0.15,-0.1,-0.05111673966657334
LOS_0_8,0.91,0.15,-0.1,-0.10438403265313484
LOS_0_9,0.91,0.15,-0.1,-0.15769443133924438
LOS_1_0,0.91,0.15,-0.1,0.37039640851950656
LOS_1_1,0.91,0.15,-0.1,0.299760962137636
LOS_1_2,0.91,0.15,-0.1,0.23415031871658937
LOS_1_3,0.91,0.15,-0.1,0.17246390877009443
LOS_1_4,0.91,0.15,-0.1,0.11380261051878801
LOS_1_5,0.91,0.15,-0.1,0.057410687925221505
LOS_1_6,0.91,0.15,-0.1,0.0026331767408081844
LOS_1_7,0.91,0.15,-0.1,-0.05111673966657334
LOS_1_8,0.91,0.15,-0.1,-0.10438403265313484
LOS_1_9,0.91,0.15,-0.1,-0.15769443133924438
LOS_2_0,0.91,0.15,0.3,0.05093232981488344
LOS_2_1,0.91,0.15,0.3,-0.009465631196598871
LOS_2_2,0.91,0.15,0.3,-0.07341367824946005
LOS_2_3,0.91,0.15,0.3,-0.14192490095085059
LOS_2_4,0.91,0.15,0.3,-0.21625999996097445
LOS_2_5,0.91,0.15,0.3,-0.2980300895558031
LOS_2_6,0.91,0.15,0.3,-0.38934986959816814
LOS_2_7,0.91,0.15,0.3,-0.49307377662169044
LOS_2_8,0.91,0.15,0.3,-0.6131739545949926
LOS_2_9,0.91,0.18987451274799697,0.3,-0.7
LOS_3_0,0.91,0.15,0.3,0.05093232981488344
LOS_3_1,0.91,0.15,0.3,-0.009465631196598871
LOS_3_2,0.91,0.15,0.3,-0.07341367824946005
LOS_3_3,0.91,0.15,0.3,-0.14192490095085059
LOS_3_4,0.91,0.15,0.3,-0.21625999996097445
LOS_3_5,0.91,0.15,0.3,-0.2980300895558031
LOS_3_6,0.91,0.15,0.3,-0.38934986959816814
LOS_3_7,0.91,0.15,0.3,-0.49307377662169044
LOS_3_8,0.91,0.15,0.3,-0.6131739545949926
LOS_3_9,0.91,0.18987451274799697,0.3,-0.7
LOS_4_0,0.7,0.15,0.55,-0.15317634680669284
LOS_4_1,0.7,0.15,0.55,-0.26477732427472966
LOS_4_2,0.7,0.15,0.55,-0.40224915558631913
LOS_4_3,0.7,0.15,0.55,-0.5777089057359406
LOS_4_4,0.7,0.1952600851566646,0.55,-0.7
LOS_4_5,0.7,0.29438687663126517,0.55,-0.7
LOS_4_6,0.7,0.3891034395077419,0.55,-0.7
LOS_4_7,0.7,0.48057315573624143,0.55,-0.7
LOS_4_8,0.7,0.569818627098032,0.55,-0.7
LOS_4_9,0.7,0.6577701902052513,0.55,-0.7
LOS_5_0,0.7,0.15,0.55,-0.15317634680669284
LOS_5_1,0.7,0.15,0.55,-0.26477732427472966
LOS_5_2,0.7,0.15,0.55,-0.40224915558631913
LOS_5_3,0.7,0.15,0.55,-0.5777089057359406
LOS_5_4,0.7,0.1952600851566646,0.55,-0.7
LOS_5_5,0.7,0.29438687663126517,0.55,-0.7
LOS_5_6,0.7,0.3891034395077419,0.55,-0.7
LOS_5_7,0.7,0.48057315573624143,0.55,-0.7
LOS_5_8,0.7,0.569818627098032,0.55,-0.7
LOS_5_9,0.7,0.6577701902052513,0.55,-0.7
