LOS,R start (m),R end (m),Z start,Z end
LoS_0,0.65,0.15,0.55,-0.17732771754635118
LoS_1,0.65,0.15,0.55,-0.2228167024178501
LoS_2,0.65,0.15,0.55,-0.27242223865401555
LoS_3,0.65,0.15,0.55,-0.32681891611154656
LoS_4,0.65,0.15,0.55,-0.3868349384560383
LoS_5,0.65,0.15,0.55,-0.4534986670946728
LoS_6,0.65,0.15,0.55,-0.5281031700275448
LoS_7,0.65,0.15,0.55,-0.612297462359022
LoS_8,0.65,0.15326583617009132,0.55,-0.7
LoS_9,0.65,0.19335730654894503,0.55,-0.7
LoS_10,0.65,0.23263669632960507,0.55,-0.7
LoS_11,0.65,0.27118825914440736,0.55,-0.7
LoS_12,0.65,0.3090909090909091,0.55,-0.7
LoS_13,0.65,0.3464189201730527,0.55,-0.7
LoS_14,0.65,0.38324255223318293,0.55,-0.7
LoS_15,0.65,0.4196286151529191,0.55,-0.7
LoS_16,0.65,0.45564098141698056,0.55,-0.7
LoS_17,0.65,0.4913410557699316,0.55,-0.7
LoS_18,0.65,0.5267882095948527,0.55,-0.7
LoS_19,0.65,0.5620401867611275,0.55,-0.7
LoS_20,0.65,0.5971534869914564,0.55,-0.7
LoS_21,0.65,0.6321837322595326,0.55,-0.7
LoS_22,0.65,0.6671860213295765,0.55,-0.7
LoS_23,0.65,0.7022152772725615,0.55,-0.7
LoS_24,0.65,0.7373265926316085,0.55,-0.7
