LOS_0_0,LOS_0_1,LOS_0_2,LOS_0_3,LOS_0_4,LOS_0_5,LOS_0_6,LOS_0_7,LOS_0_8,LOS_0_9,LOS_0_10,LOS_0_11,LOS_0_12,LOS_0_13,LOS_0_14,LOS_0_15,LOS_0_16,LOS_0_17,LOS_0_18,LOS_0_19,LOS_0_20,LOS_0_21,LOS_0_22,LOS_0_23,LOS_0_24
41992.0379943272,46161.66716509223,50433.591569808974,54838.127083596584,59309.4716025948,63750.18002824997,68100.88789868995,72295.11217799154,76305.30458459267,80019.59780179433,83346.75419487024,86202.18329680711,88497.46450833262,90103.72847005323,90861.4799863975,90546.36014923881,89039.11133457723,86298.73870923492,82365.31657368883,77505.14601656901,71933.89687276227,65856.20302784898,59373.87335753164,52503.7861087227,45052.51370031753
35553.94758248909,38994.07090892552,42486.048254827816,46043.886198481625,49599.16136411094,53053.04393292991,56333.95356243281,59363.37229972381,62094.25171767706,64416.97156790492,66261.15977749787,67627.34276808842,68689.85052472776,69906.30460796833,71921.85648851188,73760.93525096252,73084.89423772006,69074.93011151472,63983.80780119124,59993.9332484009,56530.901836271354,52783.72357672801,48445.64254706196,43463.64144898733,37705.953245932564
37922.44593008101,41606.78032537056,45349.21759667268,49164.580671905096,52979.067242786055,56687.023191186876,60211.49741881264,63468.31695784982,66405.83809249598,68909.02605792864,70905.02451917075,72388.28632414261,73488.61079853523,74416.75191245758,75315.97313757292,75669.7920737116,74567.79615072353,71694.67609075754,67903.72508413931,64191.66516944329,60515.828079812614,56476.52262501665,51811.288546592994,46457.87753158712,40275.22783677472
33329.914980029265,36541.02315890888,39798.45342574197,43115.84036727387,46430.58346781613,49651.76631128575,52716.11862078476,55556.17112911502,58140.7299928573,60383.19349679559,62236.56713134194,63688.524067911865,64750.17414262851,65411.045669417734,65611.94405047246,65192.36687305391,64051.66590019271,62159.68401677146,59587.739637551116,56563.87893242159,53197.59535323501,49489.85912723254,45342.15314567576,40667.19416041565,35296.54034247047
47485.4797049206,52159.76086075751,56920.96808939465,61790.55752744022,66678.83262290679,71462.32115170067,76061.05278498035,80397.06272314231,84448.34627915817,88133.41492784643,91427.89360357748,94346.41116687689,96894.86700587002,98963.93440262864,100267.50277926236,100319.74707008351,98735.60447279665,95384.66025847752,90517.87611713313,84784.14078646929,78674.2883997661,72393.0529571049,65802.55543242059,58678.64806111634,50682.55060817177
24978.069346760934,27367.176160508716,29803.25117062566,32308.450692652677,34854.071776487006,37391.89546268128,39904.08778030339,42370.752357972466,44811.95905271558,47187.32188084182,49470.988653021996,51622.34169352144,53571.03059220498,55172.33715900325,56213.10241828517,56411.980360200665,55560.42461070223,53592.73125023514,50607.779502910555,46943.182684840984,42933.48877217195,38846.47160257705,34790.45177216183,30733.1940419274,26470.062338782172
26412.782987396284,29017.584121590306,31701.41833117337,34494.61400240951,37372.403729510675,40287.51823847332,43221.61149369867,46148.73743592915,49077.27101916873,51940.800745888824,54678.48175696635,57210.05489537529,59430.647405287425,61178.23101249632,62249.894981724276,62396.64567750555,61445.57320088572,59341.3492744203,56147.613727714364,52145.02393367704,47626.74996595009,42871.89895180769,38068.23783914006,33277.22041320575,28361.317861409036
51726.45139604375,56834.08925162329,62036.23790223337,67352.4956746482,72677.75433394492,77866.48284779066,82810.19305901218,87392.066068456,91531.34010657345,95068.97211406051,97895.92602338303,99975.10170457332,101365.24032817424,102159.55040832229,102394.97505420417,101800.65695350712,100049.54989899282,97026.30591180646,93040.4124831317,88574.3173148775,83624.44841836074,77976.94286067109,71425.979221887,63908.65483814031,55249.398539615206
30792.526980077455,33741.70969625591,36730.18973353687,39770.32448742089,42804.48427020409,45747.610092050054,48539.04096001218,51111.515067446235,53428.4057390974,55396.90362533619,56960.99178450498,58125.89606185316,59044.320497984845,59992.52272464865,61219.31046560774,62088.391276539805,61332.22709195435,58511.92014953819,54823.926757825066,51556.34693570077,48572.94776480246,45370.985950109694,41680.199804046606,37444.370158982456,32540.906989570176
43733.42781844254,48033.482313940374,52417.09959919195,56906.66804259454,61422.83089556133,65853.1441763212,70122.52545652105,74150.79996692577,77897.73160141971,81247.68826063293,84117.58292409284,86449.09927524092,88196.24606159946,89289.38886519673,89635.38993419593,89067.05416793544,87517.83270805924,84965.4198988644,81434.3700738986,77138.51720659365,72202.95296029377,66725.04620287879,60701.586301984215,54090.09468444351,46681.284999680625
36274.82281886356,39902.72452080867,43634.513660629185,47500.76780938443,51449.88196842661,55399.21317695418,59297.40321847772,63082.678805911186,66726.91534146285,70117.90932881918,73159.38550606395,75758.7552002273,77825.16282699176,79244.14050260588,79890.35716066274,79591.67622583898,78264.44694991311,75881.60711513883,72458.9262707971,68190.19289750015,63234.18681077705,57760.168804696084,51894.43251034096,45703.491005131335,39066.972138285666
