LOS_0_0,LOS_0_1,LOS_0_2,LOS_0_3,LOS_0_4,LOS_0_5,LOS_0_6,LOS_0_7,LOS_0_8,LOS_0_9,LOS_0_10,LOS_0_11,LOS_0_12,LOS_0_13,LOS_0_14,LOS_0_15,LOS_0_16,LOS_0_17,LOS_0_18,LOS_0_19,LOS_0_20,LOS_0_21,LOS_0_22,LOS_0_23,LOS_0_24
208393815.9698434,226123870.33502966,243857251.94656193,262166451.85541326,280647148.4612972,298530982.0147767,315369946.936477,330541390.7001447,343919181.09867513,354783790.1489538,362847866.41539145,367831812.7725056,369675910.74827313,368605903.63250214,365130906.9099956,359566595.27835083,352396330.3736899,344067683.0248949,334162642.05311644,322208766.9332314,307801324.16293854,289996635.4944791,268709363.2709506,243440076.83756843,213764404.79695004
213255089.24008045,231528796.8191107,249814003.47244537,268693192.67761946,287734830.14445853,306138492.23051256,323427716.9234205,338957156.08976287,352593833.28305763,363629732.7492112,371822976.36204076,376972551.169682,379097322.25682074,378448540.8701628,375435286.68528414,370164217.82780075,362896512.9973342,354004293.76559365,343249129.8003949,330463573.3468158,315463887.33903575,297269039.8144582,275586248.6694691,249727798.1025707,219195490.45953068
223468618.67132923,243045346.55502328,262732492.7737696,283169507.3311834,303904548.14818555,324104796.5858037,343266360.51456296,360701968.12717384,376221127.638628,388995317.2068204,398607781.94773054,404633548.5783002,406860977.58640295,405469703.5741787,401122651.3254694,394515399.344758,386577204.7348743,377899229.82727057,367711712.60006607,354970133.04216677,338894100.0650263,318517713.47004277,294007566.6938277,265089605.52434203,231491482.17052054
230469400.86601698,250878983.82394472,271433402.57010704,292794497.5003005,314477675.13703287,335608203.4861952,355642505.0332314,373857030.99018496,390043457.42284155,403380251.9844983,413516779.87674,420165541.85340285,423280483.44563556,423104458.8906272,420075799.25096655,414374836.6592103,406344269.8207908,396374628.7002169,384165585.07237154,369427555.4453092,351875381.50163007,330440230.76395166,304904435.79696894,274723567.49840766,239570056.86402825
223161524.1211335,242528552.26838607,261919591.7377605,281936779.01875174,302092156.3012476,321517022.7810321,339667643.7803117,355831673.1428966,369815327.5588571,380855539.1073514,388685949.977004,393132557.31139016,394287741.70039105,392546151.99905807,388497527.3287059,382435807.28586817,374793212.5463463,365997896.7848007,355743706.8350513,343659656.6368682,329289100.91892684,311340847.36184734,289304046.24167085,262408463.6282573,230201008.79461536
220401439.24864352,239568436.3919913,258803379.894156,278720500.638939,298863368.1869619,318395741.42555237,336804230.82017803,353398862.07599205,367997082.34610206,379824018.8305751,388573878.77935857,394001853.079145,396112229.08429646,395200128.3712623,391770032.2243098,386058940.1429868,378452423.38047105,369360738.7842309,358469395.99827677,345438794.549016,329904803.87502587,310748456.2044552,287682961.3541039,260114939.6476013,227675348.63602355
228256174.29572657,248419590.59286815,268727835.218534,289842355.8939908,311297941.23630285,332245370.4085265,352173251.4411339,370394326.31871396,386744522.6840438,400445806.055829,411176777.38719577,418638003.51538825,422707690.5508118,423356262.580399,420521262.0844136,414486017.7788572,406344206.75362986,396754193.7611417,384593527.01574004,369028089.16836107,350397224.2114761,328137598.1538514,302189384.10748136,271994303.3610532,237125341.7857864
225083772.9664168,244702960.58502972,264372822.80147043,284713207.4056064,305241851.2376787,325097147.81005704,343750082.4337587,360503619.1757896,375184677.69780564,387039237.5009194,395798347.20219076,401261078.1169223,403460867.19520324,402689628.2469039,399398001.33504057,393738060.5458871,386019034.8408046,376625029.59259576,365303428.32138526,351838176.95222235,335977975.37270975,316623667.35077333,293391927.12931806,265543577.17154408,232583778.48107585
220612116.09776488,239708606.20585838,258830168.127573,278575046.59136826,298470533.7096145,317665696.6281334,335633659.45931286,351678056.01437366,365618430.28638864,376702196.70252645,384664846.7531954,389321196.10362226,390741918.87518024,389284956.83351517,385497136.5416251,379630079.9525857,372077326.9941422,363254270.09607303,352867845.22722906,340590478.7684591,326027444.40676975,307963996.90148574,285952228.13825417,259255179.44514138,227420798.32322544
211193536.01751095,229267834.14787868,247366696.3674663,266076565.3033884,284987141.5142652,303323322.0497565,320637597.61973655,336313341.47071564,350245321.9082761,361737973.3765812,370529673.83764917,376336081.4445776,378997143.52003825,378555572.66792905,375340936.12305033,369705055.4237379,362354607.2058268,353815088.40285647,343407131.6786976,330476855.23321915,314827151.0851417,295854905.5952673,273608111.26984316,247518177.51903683,217069374.22616574
225519863.67927644,245278562.04103717,265125409.97526026,285691459.50239944,306499129.2308052,326686647.37894636,345720138.4241407,362891164.9902236,378007584.21473557,390284372.1425178,399415771.84377503,405165536.8417746,407542540.2385217,406837158.1613068,403524384.445188,397798909.53369796,390009036.02455485,380550967.6201382,369138815.2129375,355489280.4883685,339290756.7466096,319421176.1876589,295554939.92222667,267049549.46453664,233511273.28093272
227400424.49540868,247345683.1378812,267377418.69446164,288133092.62507594,309130277.74422365,329504219.3879857,348724941.7947406,366091737.53748304,381428353.6968837,393965832.8829901,403414400.8008675,409544225.9610379,412350670.4778154,412079019.0503205,409126461.94593436,403597933.0151762,395763188.7707711,385991051.8745937,374039743.0572837,359735571.1353096,342894933.47774196,322489275.18301886,298213324.8555675,269381479.8810647,235527569.675165
232164603.75250927,252732407.2802408,273431475.96224284,294919366.9767619,316693282.605567,337857379.1217202,357844819.3364299,375910212.9774243,391824944.5733703,404757038.84981734,414360730.96154636,420377468.4641645,422812053.2271655,421985484.8594486,418426381.38607776,412399270.54420084,404319783.9619042,394603877.6633416,382928227.0195662,368919136.2020527,352165041.210654,331446218.7231503,306417106.7711765,276471291.7705745,241287671.24329773
226035086.8659697,245841522.6168445,265733534.38591096,286342672.66858035,307188626.40629745,327407140.1017302,346463346.37544256,363649103.65167046,378775055.46557295,391060424.2426848,400205473.7083248,405979795.35927594,408394753.6877593,407736793.3585431,404468659.211423,398768094.1585532,390968199.72354317,381460094.50149745,369968489.6302497,356233043.70650196,339965341.68139297,320053517.8182359,296162693.3427082,267630202.39431974,234042280.76949567
221319639.69828382,240612987.04811347,259986700.42547518,280060203.34735197,300373412.2335667,320082266.25269735,338659473.3722038,355392462.66702574,370060487.9021526,381835181.29340124,390346558.33315885,395295070.0671996,396670059.2406635,394841524.7005625,390503576.2506807,384155910.8387429,376434760.66379094,367833759.86978865,357878063.0536739,345887643.93228763,331157676.5543698,312389596.9103138,289338210.91967475,261558064.72425616,228822290.3782415
234028778.88259476,254898982.2864113,275954694.34326345,297882746.16509867,320199366.7185533,342030161.86500335,362841830.5595849,381922960.07571626,399086342.55727845,413512432.6944737,424826201.7964972,432639631.37617344,436636915.9142138,436704568.50314873,433076455.96860045,426391972.807611,417931063.0972715,408407621.432276,396607821.2719243,381292718.9529644,362248432.24036616,339029219.5193315,311856409.9273728,280274769.9770951,243910640.28617615
