z_eff_0,z_eff_1,z_eff_2,z_eff_3,z_eff_4,z_eff_5,z_eff_6,z_eff_7,z_eff_8,z_eff_9,z_eff_10,z_eff_11,z_eff_12,z_eff_13,z_eff_14,z_eff_15,z_eff_16,z_eff_17,z_eff_18,z_eff_19,z_eff_20,z_eff_21,z_eff_22,z_eff_23,z_eff_24,z_eff_25,z_eff_26,z_eff_27,z_eff_28,z_eff_29,z_eff_30,z_eff_31,z_eff_32,z_eff_33,z_eff_34,z_eff_35,z_eff_36,z_eff_37,z_eff_38,z_eff_39,z_eff_40
13.166271,13.146829,13.091395,13.004322,12.889972,12.752732,12.597012,12.427061,12.245204,12.052608,11.85045,11.639824,11.420979,11.193719,10.957856,10.713656,10.461957,10.203587,9.939378,9.670167,9.393733,9.112345,8.827965,8.54115,8.252506,7.962465,7.671435,7.3745656,7.0726533,6.7707443,6.468724,6.1667542,5.8318524,5.495793,5.1554036,4.7209225,4.204098,3.7096102,2.7179573,1.5353656,1.0316803
14.485551,14.471633,14.430161,14.361565,14.266285,14.144791,13.997576,13.825263,13.629461,13.412382,13.176272,12.923387,12.655785,12.37542,12.084232,11.784019,11.476371,11.162791,10.844621,10.522954,10.195033,9.863644,9.531114,9.198017,8.86496,8.532344,8.200544,7.8636613,7.5225596,7.18315,6.8452477,6.5089765,6.136349,5.7641244,5.389142,4.9101377,4.3405843,3.8002598,2.746039,1.5210693,1.0367454
11.497478,11.444068,11.295334,11.068538,10.780987,10.450041,10.093111,9.727146,9.363792,9.0114975,8.678639,8.372842,8.095716,7.8458037,7.6215444,7.4201756,7.237358,7.068639,6.909864,6.7573075,6.6055517,6.4528313,6.298104,6.13973,5.977048,5.8096175,5.637298,5.4569273,5.269036,5.0771685,4.8815475,4.682646,4.4583516,4.230435,3.9967794,3.6953614,3.3345678,2.9867947,2.272547,1.4062735,1.0246366
13.265337,13.166866,12.902195,12.517482,12.058949,11.572886,11.105606,10.700252,10.366854,10.095581,9.876301,9.698632,9.550197,9.417636,9.287775,9.152308,9.009288,8.857204,8.695128,8.522946,8.338006,8.141896,7.936375,7.722058,7.499751,7.270164,7.0340567,6.787413,6.531366,6.2710514,6.0068645,5.739461,5.438418,5.133777,4.822935,4.4221387,3.942976,3.484321,2.5676696,1.4840447,1.0371054
14.143484,14.125428,14.071946,13.984077,13.862877,13.709429,13.524847,13.310407,13.06864,12.802842,12.516354,12.212508,11.894394,11.564959,11.227119,10.883549,10.536564,10.188372,9.840867,9.495495,9.150471,8.808421,8.471388,8.139902,7.814365,7.494933,7.1816735,6.8694725,6.55876,6.2540164,5.9547286,5.660588,5.340316,5.0236654,4.70808,4.3106713,3.840944,3.3962512,2.5196555,1.4818678,1.047536
11.102474,11.07006,10.977289,10.830887,10.637609,10.404254,10.137669,9.844867,9.534164,9.214652,8.895424,8.585061,8.287924,8.006203,7.741983,7.4958925,7.266651,7.0527925,6.8523784,6.662797,6.4793415,6.300686,6.12559,5.9520326,5.7787104,5.6044645,5.4284825,5.2467732,5.059337,4.8694944,4.6771173,4.482437,4.262643,4.040011,3.8125675,3.5180092,3.1650846,2.8275657,2.151536,1.3520179,1.0246897
14.165489,14.05031,13.736452,13.2714815,12.703055,12.078923,11.446896,10.852564,10.3179655,9.850975,9.459182,9.148122,8.906704,8.715455,8.555026,8.411055,8.2757,8.141645,8.0036,7.859155,7.703835,7.537881,7.362445,7.1777163,6.9843144,6.7828574,6.574051,6.35431,6.124736,5.8900895,5.650808,5.4075794,5.1326056,4.8534226,4.5675545,4.197905,3.75526,3.3303387,2.4740465,1.45438,1.0255363
9.7757,9.751826,9.683719,9.576653,9.435926,9.266861,9.074806,8.865194,8.644014,8.417587,8.192238,7.9738674,7.7648993,7.565973,7.3776646,7.1996484,7.0304065,6.8683124,6.711606,6.558333,6.4046397,6.2498984,6.0936856,5.9348397,5.7728105,5.607149,5.437647,5.260926,5.077387,4.8905106,4.700413,4.507491,4.289613,4.0685487,3.8423283,3.5497355,3.1992486,2.862987,2.1822689,1.3685026,1.0246396
14.644655,14.487778,14.070502,13.472923,12.77524,12.057727,11.400671,10.877871,10.4956875,10.220065,10.016411,9.85197,9.709108,9.57786,9.448457,9.314598,9.174501,9.026693,8.870096,8.704181,8.525632,8.335684,8.135697,7.925832,7.7066655,7.478752,7.2427664,6.994377,6.734767,6.469445,6.198887,5.9238734,5.612289,5.296005,4.972282,4.5527773,4.050137,3.5688593,2.6105626,1.4832526,1.0246371
12.991879,12.973865,12.921161,12.835788,12.719787,12.575226,12.404206,12.208981,11.993031,11.760582,11.515883,11.263052,11.004982,10.74393,10.482102,10.221061,9.96151,9.704028,9.448797,9.195429,8.940542,8.68503,8.429454,8.173085,7.915471,7.656088,7.394584,7.1256776,6.8496666,6.571291,6.2903132,6.006932,5.688631,5.3668113,5.0383677,4.614663,4.108066,3.6225789,2.6512868,1.5019557,1.0255338
