LOS,R start (m),R end (m),Z start,Z end
LOS_0,0.65,0.15,0.55,-0.17732771754635118
LOS_1,0.65,0.15,0.55,-0.2228167024178501
LOS_2,0.65,0.15,0.55,-0.27242223865401555
LOS_3,0.65,0.15,0.55,-0.32681891611154656
LOS_4,0.65,0.15,0.55,-0.3868349384560383
LOS_5,0.65,0.15,0.55,-0.4534986670946728
LOS_6,0.65,0.15,0.55,-0.5281031700275448
LOS_7,0.65,0.15,0.55,-0.612297462359022
LOS_8,0.65,0.15326583617009132,0.55,-0.7
LOS_9,0.65,0.19335730654894503,0.55,-0.7
LOS_10,0.65,0.23263669632960507,0.55,-0.7
LOS_11,0.65,0.27118825914440736,0.55,-0.7
LOS_12,0.65,0.3090909090909091,0.55,-0.7
LOS_13,0.65,0.3464189201730527,0.55,-0.7
LOS_14,0.65,0.38324255223318293,0.55,-0.7
LOS_15,0.65,0.4196286151529191,0.55,-0.7
LOS_16,0.65,0.45564098141698056,0.55,-0.7
LOS_17,0.65,0.4913410557699316,0.55,-0.7
LOS_18,0.65,0.5267882095948527,0.55,-0.7
LOS_19,0.65,0.5620401867611275,0.55,-0.7
LOS_20,0.65,0.5971534869914564,0.55,-0.7
LOS_21,0.65,0.6321837322595326,0.55,-0.7
LOS_22,0.65,0.6671860213295765,0.55,-0.7
LOS_23,0.65,0.7022152772725615,0.55,-0.7
LOS_24,0.65,0.7373265926316085,0.55,-0.7
