LOS_0_0,LOS_0_1,LOS_0_2,LOS_0_3,LOS_0_4,LOS_0_5,LOS_0_6,LOS_0_7,LOS_0_8,LOS_0_9,LOS_0_10,LOS_0_11,LOS_0_12,LOS_0_13,LOS_0_14,LOS_0_15,LOS_0_16,LOS_0_17,LOS_0_18,LOS_0_19,LOS_0_20,LOS_0_21,LOS_0_22,LOS_0_23,LOS_0_24
55451.02699741302,60942.69841229441,66538.70618081183,72259.93504257295,77992.82576116669,83581.11576648388,88907.89537398373,93847.65830454502,98312.86290153561,102136.88761812111,105213.2294811502,107530.58313564512,109219.33789891825,110446.08746008435,111237.01971794244,111085.74045330427,109298.31582324259,105631.45023979884,100720.34488918501,95454.38318293382,89923.9430012097,83788.05012366142,76719.24824753047,68617.27503382665,59289.70801770109
29391.847429554775,32213.43146865585,35081.359282524434,38013.7403678738,40964.90756562543,43865.67192043607,46676.97198174993,49357.192677746985,51903.63898795047,54254.32388046163,56371.62696462902,58222.68883140368,59766.090108810975,60912.38116078142,61523.639716643425,61391.37742665562,60380.562571245486,58449.89292303115,55665.258494444584,52286.92439099771,48532.39775314408,44558.35773048861,40393.02164026279,35981.936472361966,31128.66440221702
52497.60157143074,57684.75127620613,62968.44122991451,68368.54243179524,73778.21152453325,79049.64195636754,84072.4630307881,88728.05653825331,92932.98664149355,96520.83210096935,99371.05165124507,101422.96666703849,102674.42085061957,103255.98329487268,103473.23725812644,103062.11654408807,101352.04849626333,98103.37405261243,93999.01328887854,89711.69323503748,84859.24867180223,79168.0539380531,72521.00425066792,64883.434519279515,56085.91937104506
45454.4991117983,50130.71220830265,54973.397626926904,60022.42723707016,65213.519456904796,70439.28994577879,75627.34536352886,80687.88498258618,85569.4483042157,90111.34871856587,94172.11385126147,97617.180652768,100321.35232852955,102143.82328138109,102944.4689076963,102532.38287963725,100823.41015995688,97791.52041118908,93438.35668861665,87966.48832856643,81536.69272089009,74336.306591646,66544.68076981418,58291.36898262585,49496.80762948447
38446.50145452316,42317.18016957715,46315.51806010711,50485.72812205681,54788.80612527275,59159.69956783882,63577.47544741442,68015.39636955007,72492.43307737615,76933.2509355156,81263.9557590586,85374.79891092416,89098.71278663231,92150.84862784932,94148.27958301453,94629.23684423618,93252.86845203192,89902.11458861979,84722.48709450435,78245.43514678805,71030.88159333976,63589.689540153566,56214.36093875876,48960.15532522257,41579.16011211244
31432.700118958288,34466.58602163782,37552.298346261414,40707.93894348061,43881.76270244866,46996.146513991596,50002.58982677715,52847.82230783698,55513.91709670738,57919.53850337774,60008.04636168666,61734.9099467587,63061.12499993695,63925.01901461116,64245.87683429688,63886.55436942392,62783.42455866115,60918.70423868372,58315.26839376462,55144.61881027408,51524.096525730056,47547.232140717126,43232.817270666914,38554.42148855561,33347.0381512581
46943.2794163626,51576.501755097954,56299.39354061413,61131.97509022111,65982.38809542992,70720.83024084687,75251.80677372315,79471.11013192289,83308.8488293756,86615.910326599,89280.79132155718,91235.21762744832,92452.22943504772,92928.15885145597,92684.07964247133,91685.16117109162,89993.03999789759,87628.53887099282,84544.79886732007,80796.68672809645,76319.07357509884,71067.0652681329,64986.80335679892,58065.756843265364,50152.97349509154
39343.37334562179,43177.186604074384,47075.82110807547,51057.64739869905,55051.2427477762,58956.88813829901,62714.69167318599,66270.19079593498,69629.18416892795,72756.0354713357,75680.19000283185,78470.27615778333,81173.09272808561,83667.62577500474,85561.89259416123,86192.146834062,84965.56180969944,81683.89098601532,76749.07052852462,71055.12821382993,65309.89757467351,59767.40322189121,54224.40503332047,48372.320756394176,41844.325135492254
40414.60909537501,44361.77689212491,48378.910133822385,52486.46341139733,56613.20235444331,60660.017749207516,64570.37826286021,68293.76280393598,71841.11234983912,75176.04007168867,78319.0732547875,81316.15098012763,84178.19063276678,86750.14764398489,88635.12654858269,89203.32416481926,87915.2316928886,84590.25405620762,79577.09849597418,73706.90337588676,67672.57802797428,61788.75007457647,55924.155295884986,49798.07692492727,43028.10949685259
47469.594855283285,52176.64118074303,56984.20098127445,61916.226730916824,66883.8974564515,71760.70886874737,76456.05245953039,80870.26879552033,84938.73765449299,88513.40808231533,91479.75871136066,93759.30245087697,95306.10712407657,96085.08442717761,96075.98561036987,95201.21697083142,93485.23777956582,90935.37155400266,87520.59070798734,83342.05937935319,78394.23554879414,72690.52072555856,66219.27965474689,58984.52401084514,50829.15160204217
40770.68227861676,44803.884178859225,48926.08856407865,53159.92930238822,57432.8507729968,61637.84840271867,65699.2810909545,69532.1074928152,73084.59554908697,76226.47319229241,78856.59220847771,80901.47903646762,82314.6917639144,83057.8828537703,83106.31157387917,82385.53244386497,80908.77365304746,78681.86955271535,75678.88823743889,71992.19394506092,67629.42170493971,62614.45617957893,56957.25446485667,50675.38572953549,43640.04802363467
33775.28043167264,37032.05152604578,40336.04741290124,43700.76740942533,47062.07543902292,50326.86939358361,53429.18411216976,56298.16763601234,58898.58966496778,61140.832516683884,62979.90813757299,64416.06190223174,65487.505494439916,66208.92469295005,66515.94211099015,66192.8001866277,65059.722595789746,63059.294860778864,60333.8637129112,57204.371071877315,53809.32057878972,50104.38796711507,45941.178350630966,41219.44317200153,35777.14294061319
47552.58951004344,52456.254143326696,57536.08118252776,62832.28939580329,68276.58136906363,73754.14931913983,79186.05920214413,84474.42637842639,89561.99319245074,94277.20405530068,98470.87113200774,102003.35690782322,104748.63170314986,106569.59548824064,107334.57774016735,106858.63286078474,105066.34577792381,101936.18654758476,97463.10450731481,91841.33854207376,85217.29778034102,77765.0207656415,69660.27419636716,61036.50090444468,51820.34718702916
38199.65322486423,41912.5714848356,45684.329951668326,49529.85760727832,53374.761788528915,57112.77308964466,60667.00993948297,63954.67730584661,66931.5002044918,69504.29568352936,71656.97641601482,73495.56934334718,75319.26719640447,77395.13866436647,79595.1619626919,80912.24878689762,79950.52861495077,76231.52520446689,70969.21179577925,65832.18881856407,61327.26307739259,56979.096802203756,52214.6190242062,46809.21108503199,40575.988339399155
31183.15876818285,34247.75499398009,37394.562578041085,40656.23526239466,44000.368358189226,47373.086942472626,50759.11399736659,54140.9345646993,57546.41701719244,60928.50789908683,64248.514728320195,67438.85733532702,70380.70746833726,72845.12025416973,74504.21842150614,74948.52891455265,73867.11712629188,71156.62824674383,66961.45314632055,61764.34420343051,56065.296493563044,50287.41401721081,44631.59246882256,39087.49836001901,33402.460511071986
28308.229089818058,31166.853903145842,34126.217936256646,37214.86572513819,40401.158481823186,43622.25923439375,46839.4955199595,50000.52989633436,53086.27721898657,55994.45632429753,58636.80488334443,60921.350934477516,62758.37544663032,64042.109579782526,64665.50456094221,64485.49984590343,63426.18853010611,61469.11524796783,58621.73905919018,55033.04935066775,50840.843185049605,46193.48110979295,41239.83465936836,36077.80417012138,30653.50224756906
34220.181799528524,37699.37056770135,41301.20817766269,45060.40888254315,48935.551785577234,52852.62019674782,56766.78617938991,60619.69256899867,64386.57861412805,67951.79657869019,71211.14760469511,74055.77006435755,76373.74498963747,78026.3763751912,78864.47421692086,78697.45981169016,77419.8845180535,74998.98977987996,71454.36319465388,66990.31573209752,61797.24751888985,56080.9809229139,50023.21915265539,43734.91710199011,37135.72214387695
44191.000879097366,48605.62620976917,53134.14974803432,57807.88958966525,62555.46197388895,67270.90801005905,71885.38636909396,76320.66820261504,80535.07942360845,84398.22106258594,87801.67263992291,90650.62786840253,92857.61778005162,94312.51198470482,94892.91540716052,94418.2938809351,92813.89225069937,90053.18078675646,86149.57100047983,81314.59138748891,75697.66488643785,69457.19392995158,62687.30410977822,55428.39469297726,47517.102011931885
31582.18770205696,34612.79089466054,37684.76997489784,40810.76178506953,43931.36142608109,46959.19233303427,49831.71793820702,52479.989916130864,54865.28262123059,56888.87243586973,58484.65804693898,59625.059342832355,60344.3558564496,60788.44212973712,61215.84661740012,61327.53895454797,60396.57385319376,58170.823656682995,55365.583793404156,52684.192569577586,49853.491403366155,46595.95518650956,42802.195814368875,38442.60208130974,33397.509708425096
