Z_eff_max,Z_eff_ave
2.4861903,1.9355524
2.9222305,2.4023504
2.2987173,1.9447458
2.0007484,1.6233389
2.715367,2.016006
2.2467823,1.8302796
2.336621,1.8609526
2.5587823,2.1218448
2.427337,1.8867726
2.8719518,2.0791354
2.7688613,1.9007158
2.7715895,2.2803845
2.2043962,1.7362871
2.6074045,1.9273804
2.109198,1.5581162
2.217453,1.8874457
2.0840588,1.6884229
2.8676646,1.9647398
2.4907699,1.9209623
2.7458656,1.91978
2.8459356,2.1566536
2.078797,1.6040747
2.5158117,1.8674729
2.799847,2.0149808
2.2476592,1.6993043
2.9378207,1.9919469
2.8537307,2.0433373
2.9269075,2.0287147
2.4531584,1.8037257
2.331067,1.9857528
2.490575,2.0425735
2.3285336,1.7095485
2.8265452,2.1248603
2.9231074,2.1491795
2.4379578,1.875838
2.2616904,1.986263
2.2734807,1.6903989
2.7303727,2.233404
2.9377232,2.3695955
2.9126813,2.0680888
2.2155042,1.9456128
2.0069845,1.6072159
2.6390722,1.9921997
2.3990796,1.9853377
2.6676219,1.9825051
2.6851609,2.293883
2.7456708,1.8036481
2.5282838,1.8520198
2.0172155,1.6104444
2.767497,1.8175244
2.9069326,2.40126
2.0889308,1.6705303
2.3932333,1.7485268
2.6816533,2.0946262
2.2712395,1.9592912
2.4765437,1.8369021
2.1177728,1.8667108
2.8843267,2.1030002
2.4922314,2.0449362
2.4625125,1.9321952
2.8135858,2.3302062
2.3613706,1.7115146
2.5268223,1.8676314
2.809688,2.4182415
2.9055684,1.9644337
2.2189147,1.8269145
2.2066374,1.6155654
2.881988,2.2112415
2.0021126,1.4946316
2.2807884,1.7131324
2.201473,1.7106352
2.3433444,1.7212031
2.223202,1.6581135
2.7695432,2.1520214
2.7689586,2.0965874
2.8727314,2.1807806
2.2091708,1.6651515
2.2109246,1.6204872
2.24649,1.6852753
2.6567087,1.9981036
2.7977033,2.0176773
2.2964761,1.8019375
2.7835746,1.9883201
2.0976028,1.6861058
2.0467396,1.5360508
2.8201141,1.9559155
2.3533807,1.8752198
2.243859,1.6912673
2.2126784,1.673174
1.9969482,1.7042582
2.3617604,1.8216956
2.1940677,1.7375848
2.1953344,1.7209129
2.7276444,1.9316075
2.5334482,2.0536773
2.7514195,2.1166716
2.4352295,1.8852696
2.518735,2.1833754
2.4178853,1.9509054
2.0562887,1.7661939
2.4807336,1.7337435
2.9093685,2.156672
2.2595468,1.6526784
1.9909071,1.5456598
2.1569433,1.7867696
2.4157417,1.8047173
2.2299252,1.7642138
2.589768,1.939583
2.489893,1.8040437
2.2805936,1.7841337
2.0361187,1.6227626
2.7552197,1.9702932
2.6894484,1.9888033
2.683407,1.9483334
2.5117192,1.9617522
2.5835319,1.9983907
2.771492,1.9293967
2.5486488,1.9688188
2.4659228,1.8584635
2.1883187,1.8123282
2.2144325,1.8108128
2.611692,1.8197198
2.4910622,1.8092365
2.7360241,2.3291843
2.3598115,1.7730863
2.119819,1.632546
2.329021,1.8827722
2.0264723,1.7356415
2.7326138,2.1593065
2.2076118,1.6299088
2.82255,2.411981
1.9915891,1.6374104
2.2386947,1.8732882
2.5938604,2.0877368
2.3277543,1.7383368
2.7964365,2.352849
2.7346601,1.8364322
2.4744,1.952663
2.190365,1.8642944
2.6357594,1.9044144
2.027739,1.6195569
2.944544,2.186008
2.3676069,1.8086133
2.7154646,2.0614853
2.3516266,1.8697016
2.568234,2.074119
2.1235218,1.6965996
2.8584077,2.3318157
2.1421325,1.6760087
2.1265423,1.8084532
2.89485,2.0885344
2.3555243,1.9441011
2.1572356,1.8560486
2.8424277,1.9163107
2.657196,2.1367831
2.0513194,1.7931628
2.6402416,2.0357125
2.0521963,1.7167642
2.825181,2.1419845
2.1452506,1.572838
2.8188474,2.1050522
2.077238,1.8062348
2.0488832,1.7482085
2.3535755,1.6572411
2.5031447,2.04241
2.3890433,2.0829098
2.78299,2.087739
2.3436368,1.7172927
2.144666,1.6994061
2.2003038,1.6438671
2.7256956,1.9092135
2.2727985,1.6666794
2.8929012,1.9752005
2.2839065,1.6798184
2.2166736,1.7830818
2.6640167,1.99434
2.284004,1.7630403
2.6966588,2.117977
2.2444437,1.7451994
2.5971735,2.1254468
2.449066,2.0611567
2.8782854,2.3152306
2.404049,1.9061437
2.9176507,2.1553755
2.6200716,1.8928468
2.1643486,1.7348739
2.400249,1.9145191
2.0851307,1.776979
2.2137504,1.580915
2.3114817,2.0117104
2.7088387,1.8229258
2.1904624,1.890797
2.036411,1.667445
2.4108698,1.8878024
2.602435,2.07281
2.5918143,1.8056209
2.359909,1.7592481
2.603312,2.061597
2.3301902,1.8877962
2.455302,1.7534218
2.7943902,2.195044
1.9960713,1.6730614
2.2331407,1.8583755
2.3648784,1.9387059
2.1132905,1.704081
2.064571,1.62467
2.8738031,2.0757437
2.6284513,1.9083724
2.6737607,2.1750526
2.5839217,1.9247808
2.1341426,1.7327164
2.1170907,1.6577423
2.8092985,2.2060819
2.2450283,1.9061834
2.4750822,1.8115513
2.6342003,1.903308
2.595517,1.9907014
2.3255131,1.8703556
2.738655,1.9700674
2.1295629,1.625289
2.887737,2.0725358
2.0186772,1.688031
2.6791198,2.201023
2.3446112,1.7072533
2.7300804,2.2755759
2.2004986,1.7618084
2.7521992,1.9631518
2.5492334,2.1658568
2.2403512,1.9542599
2.6673295,2.0232127
2.8274221,2.3509898
2.906153,2.177876
2.8823779,2.0830665
2.037288,1.726892
2.9183328,2.1375632
2.1257627,1.6360333
2.2854655,1.9218953
2.6840892,2.1448069
2.924569,2.2581825
2.8297606,2.3527408
2.3848536,1.7748563
2.3129435,1.7874765
2.2262225,1.7337083
2.9233022,2.2505827
2.3076818,1.9987478
2.55469,2.2182336
2.8079343,1.9074785
2.4855082,1.906889
2.7924414,2.0407262
2.0824025,1.5877568
2.4043412,2.0762491
2.1274192,1.7592646
2.2744548,1.8126324
2.766815,1.9815798
2.5153246,2.1769178
2.4787848,1.8207434
2.7871797,2.2308238
2.6727862,1.9731934
2.081233,1.6761173
2.1276143,1.7737634
2.545823,1.9266322
2.2794244,1.7552736
2.8838394,2.3551831
2.2803988,1.7680285
2.5328636,2.1267571
1.9867171,1.7098215
2.5747623,2.052117
2.3173282,1.9406235
2.947857,2.4095058
2.0311494,1.5722389
2.4660203,1.8924327
2.8119292,1.9877824
2.2635417,1.7582859
2.852464,2.1069007
2.8365815,2.1743488
2.8352172,2.3042994
2.6199741,2.0292675
2.6608012,1.9513203
2.6187074,2.260086
2.1573331,1.642269
2.5035343,1.7432905
2.3610783,1.7053442
2.0451806,1.6296644
2.6614833,2.145382
2.0528784,1.6397601
2.0664225,1.7757103
2.3107998,1.8504945
2.7839642,2.123776
2.44663,1.8371269
2.054145,1.6623547
2.3830996,1.8354139
1.9974355,1.634702
2.0391395,1.7350698
2.8878343,2.0729713
2.9472723,2.4937706
2.4357166,1.8806589
2.6191947,2.1361947
2.725111,1.9467852
2.2203763,1.7042298
2.8450587,2.3571692
2.4682615,1.8653274
2.341883,1.8705859
2.5070422,1.9445076
2.9248612,2.3821523
2.5377355,1.8403449
2.701823,2.052886
2.0637915,1.6255832
2.8016982,1.9206047
2.5275044,2.0843124
2.5371509,2.1159425
2.377448,1.7104163
2.1074443,1.560988
2.1661026,1.7991321
2.3473394,1.7365166
2.8434021,2.1299956
2.4982727,1.8976645
2.7238443,1.9597671
2.385146,2.0447834
2.77461,2.0881138
2.9219382,1.9645975
2.9197946,2.077345
2.6912022,2.3277693
2.9406464,2.3254733
2.0174105,1.5960302
2.0788946,1.6883037
